exp_id,grid,patch_size,training_seed,reliance,path_family,single_or_diverse,channel_path_id_0,channel_path_id_1,channel_path_id_2,channel_path_id_3,channel_order_sha256_0,channel_order_sha256_1,channel_order_sha256_2,channel_order_sha256_3,channel_inverse_order_sha256_0,channel_inverse_order_sha256_1,channel_inverse_order_sha256_2,channel_inverse_order_sha256_3,latin_square_rotation,lmto_source_sha256,random_source_sha256,split_source_sha256,config_source_sha256
GEO_SG1,8,4,0,R_low,GEO,single,G1,G1,G1,G1,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,,93a41e67f539b469a8c2855bc577805d4dc6a7ffcb8c648b11097c9d58ffbec7,2f7b8a6fd3cfbbae9897b4ef4dc9dcfd1bf7744619d5818ceaca7604d565aee3,e28719c9154bfcdce9c89ab5c91529eb27403ce54483eac494708c0f072b1f09,790e08faf1856d8307d56500e0143cdb36225ae10c3542287e33b8efd6c1a33e
GEO_SG1,8,4,1,R_low,GEO,single,G1,G1,G1,G1,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,,93a41e67f539b469a8c2855bc577805d4dc6a7ffcb8c648b11097c9d58ffbec7,2f7b8a6fd3cfbbae9897b4ef4dc9dcfd1bf7744619d5818ceaca7604d565aee3,e28719c9154bfcdce9c89ab5c91529eb27403ce54483eac494708c0f072b1f09,790e08faf1856d8307d56500e0143cdb36225ae10c3542287e33b8efd6c1a33e
GEO_SG1,8,4,2,R_low,GEO,single,G1,G1,G1,G1,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,,93a41e67f539b469a8c2855bc577805d4dc6a7ffcb8c648b11097c9d58ffbec7,2f7b8a6fd3cfbbae9897b4ef4dc9dcfd1bf7744619d5818ceaca7604d565aee3,e28719c9154bfcdce9c89ab5c91529eb27403ce54483eac494708c0f072b1f09,790e08faf1856d8307d56500e0143cdb36225ae10c3542287e33b8efd6c1a33e
GEO_SG1,8,4,3,R_low,GEO,single,G1,G1,G1,G1,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,7a4644928f3a08db905254fd7e5e53ef19a46d932a2ecd372b45462413a82619,,93a41e67f539b469a8c2855bc577805d4dc6a7ffcb8c648b11097c9d58ffbec7,2f7b8a6fd3cfbbae9897b4ef4dc9dcfd1bf7744619d5818ceaca7604d565aee3,e28719c9154bfcdce9c89ab5c91529eb27403ce54483eac494708c0f072b1f09,790e08faf1856d8307d56500e0143cdb36225ae10c3542287e33b8efd6c1a33e
GEO_SG1,32,1,0,R_high,GEO,single,G1,G1,G1,G1,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,,93a41e67f539b469a8c2855bc577805d4dc6a7ffcb8c648b11097c9d58ffbec7,2f7b8a6fd3cfbbae9897b4ef4dc9dcfd1bf7744619d5818ceaca7604d565aee3,e28719c9154bfcdce9c89ab5c91529eb27403ce54483eac494708c0f072b1f09,790e08faf1856d8307d56500e0143cdb36225ae10c3542287e33b8efd6c1a33e
GEO_SG1,32,1,1,R_high,GEO,single,G1,G1,G1,G1,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,,93a41e67f539b469a8c2855bc577805d4dc6a7ffcb8c648b11097c9d58ffbec7,2f7b8a6fd3cfbbae9897b4ef4dc9dcfd1bf7744619d5818ceaca7604d565aee3,e28719c9154bfcdce9c89ab5c91529eb27403ce54483eac494708c0f072b1f09,790e08faf1856d8307d56500e0143cdb36225ae10c3542287e33b8efd6c1a33e
GEO_SG1,32,1,2,R_high,GEO,single,G1,G1,G1,G1,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,,93a41e67f539b469a8c2855bc577805d4dc6a7ffcb8c648b11097c9d58ffbec7,2f7b8a6fd3cfbbae9897b4ef4dc9dcfd1bf7744619d5818ceaca7604d565aee3,e28719c9154bfcdce9c89ab5c91529eb27403ce54483eac494708c0f072b1f09,790e08faf1856d8307d56500e0143cdb36225ae10c3542287e33b8efd6c1a33e
GEO_SG1,32,1,3,R_high,GEO,single,G1,G1,G1,G1,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,,93a41e67f539b469a8c2855bc577805d4dc6a7ffcb8c648b11097c9d58ffbec7,2f7b8a6fd3cfbbae9897b4ef4dc9dcfd1bf7744619d5818ceaca7604d565aee3,e28719c9154bfcdce9c89ab5c91529eb27403ce54483eac494708c0f072b1f09,790e08faf1856d8307d56500e0143cdb36225ae10c3542287e33b8efd6c1a33e
GEO_SG2,8,4,0,R_low,GEO,single,G2,G2,G2,G2,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,,93a41e67f539b469a8c2855bc577805d4dc6a7ffcb8c648b11097c9d58ffbec7,2f7b8a6fd3cfbbae9897b4ef4dc9dcfd1bf7744619d5818ceaca7604d565aee3,e28719c9154bfcdce9c89ab5c91529eb27403ce54483eac494708c0f072b1f09,790e08faf1856d8307d56500e0143cdb36225ae10c3542287e33b8efd6c1a33e
GEO_SG2,8,4,1,R_low,GEO,single,G2,G2,G2,G2,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,d59fc11ea3b51e216c86d815e1ab70aaf324d0eb6f1cadc49df7a3430b326409,,93a41e67f539b469a8c2855bc577805d4dc6a7ffcb8c648b11097c9d58ffbec7,2f7b8a6fd3cfbbae9897b4ef4dc9dcfd1bf7744619d5818ceaca7604d565aee3,e28719c9154bfcdce9c89ab5c91529eb27403ce54483eac494708c0f072b1f09,790e08faf1856d8307d56500e0143cdb36225ae10c3542287e33b8efd6c1a33e
