block_type,grid,variant,pair,branch_dir_i,branch_dir_j,cka_spatial,cka_pooled,cosine
gru,8,real_4dir,0-1,row,col,0.5215209126472473,0.492937296628952,0.07324272727966309
gru,8,real_4dir,0-2,row,diag,0.4722306728363037,0.4646326005458832,0.05548883628845215
gru,8,real_4dir,0-3,row,anti_diag,0.410815954208374,0.4054315388202667,0.05704739665985108
gru,8,real_4dir,1-2,col,diag,0.47829878330230713,0.45640018582344055,0.07505977058410644
gru,8,real_4dir,1-3,col,anti_diag,0.4715314507484436,0.4507061541080475,0.0664827585220337
gru,8,real_4dir,2-3,diag,anti_diag,0.44979771971702576,0.4342983365058899,0.059571452140808105
gru,8,same_row_4,0-1,row,row,0.5509989857673645,0.5424084663391113,0.07506034660339356
gru,8,same_row_4,0-2,row,row,0.4883876144886017,0.4572873115539551,0.11329441070556641
gru,8,same_row_4,0-3,row,row,0.5308833718299866,0.49443450570106506,0.07387881660461426
gru,8,same_row_4,1-2,row,row,0.4417112469673157,0.4207211434841156,0.0441560115814209
gru,8,same_row_4,1-3,row,row,0.47121119499206543,0.4591069519519806,0.06304054260253907
gru,8,same_row_4,2-3,row,row,0.4105856120586395,0.37775513529777527,0.08930498504638672
gru,16,real_4dir,0-1,row,col,0.4433142840862274,0.4074007570743561,0.08039660835266113
gru,16,real_4dir,0-2,row,diag,0.5212664008140564,0.5103289484977722,0.05325181674957275
gru,16,real_4dir,0-3,row,anti_diag,0.40068405866622925,0.39510151743888855,0.06557344818115235
gru,16,real_4dir,1-2,col,diag,0.4978083372116089,0.4618222415447235,0.09750160598754883
gru,16,real_4dir,1-3,col,anti_diag,0.45146462321281433,0.4232545793056488,0.0800739974975586
gru,16,real_4dir,2-3,diag,anti_diag,0.4661126136779785,0.45868954062461853,0.08547012329101562
gru,16,same_row_4,0-1,row,row,0.4528292715549469,0.41934144496917725,0.08774418449401855
gru,16,same_row_4,0-2,row,row,0.4909849464893341,0.4699075222015381,0.09491323852539063
gru,16,same_row_4,0-3,row,row,0.4599681496620178,0.40528565645217896,0.0782049503326416
gru,16,same_row_4,1-2,row,row,0.5294160842895508,0.5284062027931213,0.09289325904846192
