block_type,grid,epoch,acc_channel_real_4dir,acc_channel_same_row_4,acc_channel_same_perm_4,acc_channel_rand_perm_4,delta_direction,order_utilization
gru,8,1,0.2992,0.2897,0.2874,0.2865,0.009500000000000008,
gru,8,2,0.3589,0.3603,0.3469,0.3543,-0.0014000000000000123,
gru,8,3,0.4184,0.407,0.4057,0.4092,0.011400000000000021,
gru,8,4,0.4304,0.4303,0.4284,0.4269,9.999999999998899e-05,
gru,8,5,0.4702,0.4668,0.4568,0.4549,0.003400000000000014,
gru,8,6,0.4957,0.4892,0.474,0.4807,0.00649999999999995,
gru,8,7,0.5092,0.5226,0.5003,0.5029,-0.013399999999999967,
gru,8,8,0.5261,0.528,0.5133,0.5138,-0.0019000000000000128,
gru,8,9,0.5353,0.541,0.5118,0.5025,-0.005700000000000038,
gru,8,10,0.5401,0.5427,0.5228,0.5202,-0.0025999999999999357,
gru,8,11,0.5531,0.5622,0.5398,0.5361,-0.009099999999999997,
gru,8,12,0.5562,0.5625,0.5324,0.5313,-0.006299999999999972,
gru,8,13,0.5601,0.576,0.5454,0.5464,-0.015899999999999914,
gru,8,14,0.5646,0.5778,0.5535,0.5578,-0.01319999999999999,
gru,8,15,0.5677,0.5891,0.5489,0.5528,-0.021399999999999975,
gru,8,16,0.5735,0.589,0.5293,0.5368,-0.015499999999999958,
gru,8,17,0.5829,0.5949,0.5541,0.5604,-0.01200000000000001,
gru,8,18,0.5795,0.5901,0.5599,0.5657,-0.010599999999999943,
gru,8,19,0.5823,0.5956,0.5594,0.5602,-0.013299999999999979,
gru,8,20,0.5935,0.6036,0.5776,0.5772,-0.010099999999999998,
gru,8,21,0.5962,0.6089,0.5643,0.5776,-0.012700000000000045,
gru,8,22,0.581,0.598,0.5743,0.5659,-0.017000000000000015,
gru,8,23,0.605,0.6102,0.5795,0.588,-0.005199999999999982,
gru,8,24,0.5974,0.6088,0.5872,0.5861,-0.011399999999999966,
gru,8,25,0.6019,0.6175,0.5771,0.5751,-0.015600000000000058,
gru,8,26,0.5909,0.6095,0.5573,0.5673,-0.01860000000000006,
gru,8,27,0.6061,0.6161,0.5716,0.5789,-0.010000000000000009,
gru,8,28,0.6121,0.6233,0.5846,0.5871,-0.011199999999999988,
gru,8,29,0.6071,0.6294,0.5792,0.5623,-0.022299999999999986,
gru,8,30,0.6186,0.6352,0.5878,0.5972,-0.016599999999999948,
gru,8,31,0.6171,0.6293,0.5864,0.5976,-0.012199999999999989,
gru,8,32,0.6129,0.6232,0.5915,0.5954,-0.010299999999999976,
gru,8,33,0.6229,0.6352,0.5936,0.5937,-0.012299999999999978,
gru,8,34,0.6169,0.627,0.5901,0.6009,-0.010099999999999998,
gru,8,35,0.6179,0.6298,0.5983,0.6012,-0.011900000000000022,
gru,8,36,0.6249,0.6372,0.5976,0.6,-0.012299999999999978,
gru,8,37,0.6257,0.6348,0.5986,0.5976,-0.009099999999999997,
gru,8,38,0.6311,0.6445,0.5912,0.6023,-0.013399999999999967,
gru,8,39,0.6154,0.6342,0.5923,0.604,-0.01880000000000004,
gru,8,40,0.6342,0.634,0.6074,0.6064,0.00019999999999997797,
gru,8,41,0.6396,0.651,0.6014,0.6058,-0.011400000000000077,
gru,8,42,0.6245,0.6463,0.5952,0.6087,-0.02179999999999993,
gru,8,43,0.6352,0.6518,0.5985,0.6032,-0.01660000000000006,
gru,8,44,0.6375,0.6463,0.6004,0.6082,-0.00880000000000003,
gru,8,45,0.639,0.6561,0.6085,0.6145,-0.017100000000000004,
gru,8,46,0.6493,0.6499,0.6102,0.6207,-0.0006000000000000449,
gru,8,47,0.6444,0.6531,0.6047,0.6127,-0.008700000000000041,
gru,8,48,0.6483,0.656,0.6119,0.622,-0.00770000000000004,
gru,8,49,0.6449,0.6572,0.6165,0.6238,-0.012299999999999978,
gru,8,50,0.638,0.6484,0.6108,0.6034,-0.010399999999999965,
gru,8,51,0.641,0.6561,0.6167,0.6219,-0.015100000000000002,
gru,8,52,0.6479,0.6543,0.6179,0.6195,-0.006399999999999961,
gru,8,53,0.6438,0.6577,0.6122,0.6223,-0.013899999999999912,
gru,8,54,0.6488,0.6597,0.6075,0.6132,-0.01089999999999991,
gru,8,55,0.6546,0.6557,0.614,0.6174,-0.0010999999999999899,
gru,8,56,0.6446,0.6602,0.613,0.6234,-0.015600000000000058,
gru,8,57,0.6455,0.6648,0.6134,0.6173,-0.019299999999999984,
gru,8,58,0.6477,0.6619,0.6127,0.6169,-0.01419999999999999,
gru,8,59,0.653,0.6631,0.619,0.6187,-0.010099999999999998,
gru,8,60,0.6556,0.6668,0.6216,0.6266,-0.011199999999999988,
gru,8,61,0.6503,0.6664,0.6192,0.6313,-0.016100000000000003,
gru,8,62,0.6561,0.6618,0.6232,0.624,-0.005700000000000038,
