dataset,block_type,variant,grid,sequence_length,micro_batch,accum_steps,effective_batch,status,epoch1_sec,epoch2_sec,mean_epoch_sec,speedup_vs_micro8,peak_allocated_mb,peak_reserved_mb,peak_nvidia_memory_mb,mean_power_w,error
cifar10,gru,real_4dir,8,64,8,16,128,ok,146.890039896,143.94490652700003,145.4174732115,1.0,36.24560546875,54.0,294.0,25.40829181494662,
cifar10,gru,real_4dir,8,64,32,4,128,ok,35.34695005200001,34.994393005999996,35.170671529,4.134623164405489,62.140625,78.0,318.0,27.653387096774193,
cifar10,gru,real_4dir,8,64,64,2,128,ok,20.056701697999983,22.829501644000004,21.443101670999994,6.781550329921021,94.53466796875,116.0,356.0,29.512619047619047,
cifar10,gru,real_4dir,8,64,128,1,128,ok,12.830537219999997,13.760174930000005,13.295356075,10.937463606930889,157.1953125,198.0,438.0,33.985769230769236,
cifar10,gru,real_4dir,16,256,8,16,128,ok,169.91986434199998,168.62624153800004,169.27305294,1.0,61.392578125,76.0,316.0,45.01183486238532,
cifar10,gru,real_4dir,16,256,32,4,128,ok,41.45882856399999,44.84807083099997,43.15344969749998,3.922584500812378,154.13916015625,198.0,438.0,61.2322619047619,
cifar10,gru,real_4dir,16,256,64,2,128,ok,27.38070785800005,25.561372171000016,26.471040014500034,6.394650638859575,279.99951171875,348.0,632.0,74.07538461538462,
cifar10,gru,real_4dir,16,256,128,1,128,ok,17.615489617000094,17.81926508899994,17.717377353000018,9.55406940696771,530.8984375,642.0,898.0,76.70448275862068,
cifar10,gru,real_4dir,32,1024,8,16,128,ok,378.6293804630001,359.370140859,368.99976066100004,1.0,230.9697265625,304.0,567.0,53.9201547116737,
cifar10,gru,real_4dir,32,1024,32,4,128,ok,109.05423219599993,109.31483267299996,109.18453243449994,3.3795973883238806,529.1533203125,642.0,902.0,76.4067298578199,
cifar10,gru,real_4dir,32,1024,64,2,128,ok,74.09657213199989,73.32432434799989,73.71044823999989,5.006071316505137,1029.0751953125,1228.0,1487.0,79.10860294117647,
cifar10,gru,real_4dir,32,1024,128,1,128,ok,54.66024807700023,55.24299394699983,54.95162101200003,6.714993186104918,2028.07568359375,2438.0,2697.0,79.25188679245282,
cifar10,mamba,real_4dir,8,64,8,16,128,ok,168.13593011900002,177.76922446199978,172.9525772904999,1.0,33.34619140625,38.0,304.0,27.32677611940299,
cifar10,mamba,real_4dir,8,64,32,4,128,ok,44.230969233999986,43.054924633000155,43.64294693350007,3.9628986913746314,67.66943359375,92.0,351.0,32.92917647058824,
cifar10,mamba,real_4dir,8,64,64,2,128,ok,23.22995403799996,27.205245554999692,25.217599796499826,6.85840756797582,114.107421875,138.0,397.0,66.41367346938776,
cifar10,mamba,real_4dir,8,64,128,1,128,ok,17.766557449000175,16.136161713999627,16.9513595814999,10.20287348982049,206.16064453125,226.0,485.0,73.8690909090909,
cifar10,mamba,real_4dir,16,256,8,16,128,ok,171.97539529300002,167.34470710199957,169.6600511974998,1.0,63.9462890625,88.0,347.0,29.55589665653495,
cifar10,mamba,real_4dir,16,256,32,4,128,ok,45.99988580399986,47.23785204099977,46.618868922499814,3.6393000327731295,191.72802734375,210.0,469.0,70.42362637362638,
cifar10,mamba,real_4dir,16,256,64,2,128,ok,29.8518597530001,30.159539398000106,30.005699575500103,5.65426081037046,368.853515625,384.0,643.0,77.10913793103448,
cifar10,mamba,real_4dir,16,256,128,1,128,ok,29.363509393000186,27.788753545999953,28.57613146950007,5.937124532709464,701.80126953125,812.0,1077.0,78.29020408163265,
cifar10,mamba,real_4dir,32,1024,8,16,128,ok,178.53838979300008,187.0142441060002,182.77631694950014,1.0,269.1103515625,304.0,553.0,70.90144067796611,
cifar10,mamba,real_4dir,32,1024,32,4,128,ok,95.14532078699995,96.18211295499987,95.6637168709999,1.9106127477355848,688.43505859375,802.0,1051.0,78.62202247191011,
cifar10,mamba,real_4dir,32,1024,64,2,128,ok,94.10982767600035,95.43023679999988,94.77003223800011,1.9286298910449455,1356.560546875,1542.0,1791.0,79.1670520231214,
cifar10,mamba,real_4dir,32,1024,128,1,128,ok,114.55285348999996,114.05992254800003,114.306388019,1.5990035213003064,2691.98486328125,2938.0,3187.0,79.59276699029127,
