block_type,task_dir,branch_dirs,grid_size,signal_strength,pos_mode,seed,best_acc,last_acc,param_count,elapsed_sec,skipped,skip_reason
gru,vertical,row,8,single_patch,none,0,0.5166015625,0.484375,53634,7.9394073486328125,False,
gru,vertical,row,8,single_patch,none,1,0.5185546875,0.4931640625,53634,5.559067726135254,False,
gru,vertical,row,8,single_patch,none,2,0.5205078125,0.5126953125,53634,5.872698068618774,False,
gru,vertical,row,8,single_patch,xy_learned,0,0.509765625,0.48046875,54658,5.895889043807983,False,
gru,vertical,row,8,single_patch,xy_learned,1,0.517578125,0.48828125,54658,5.463228225708008,False,
gru,vertical,row,8,single_patch,xy_learned,2,0.5166015625,0.49609375,54658,5.665313482284546,False,
gru,vertical,row,8,single_pixel,none,0,0.525390625,0.494140625,53634,5.6469385623931885,False,
gru,vertical,row,8,single_pixel,none,1,0.5322265625,0.5029296875,53634,5.723649501800537,False,
gru,vertical,row,8,single_pixel,none,2,0.5263671875,0.51171875,53634,5.719135284423828,False,
gru,vertical,row,8,single_pixel,xy_learned,0,0.509765625,0.5009765625,54658,5.718956470489502,False,
gru,vertical,row,8,single_pixel,xy_learned,1,0.525390625,0.5107421875,54658,6.22066593170166,False,
gru,vertical,row,8,single_pixel,xy_learned,2,0.5341796875,0.5341796875,54658,5.787594556808472,False,
gru,vertical,row,16,single_patch,none,0,0.48828125,0.486328125,53634,7.869962215423584,False,
gru,vertical,row,16,single_patch,none,1,0.509765625,0.498046875,53634,8.580779552459717,False,
gru,vertical,row,16,single_patch,none,2,0.5244140625,0.5068359375,53634,9.236296653747559,False,
gru,vertical,row,16,single_patch,xy_learned,0,0.5,0.4873046875,55682,8.52045488357544,False,
gru,vertical,row,16,single_patch,xy_learned,1,0.5048828125,0.5048828125,55682,8.224832534790039,False,
gru,vertical,row,16,single_patch,xy_learned,2,0.52734375,0.50390625,55682,8.0433030128479,False,
gru,vertical,row,16,single_pixel,none,0,0.5185546875,0.490234375,53634,8.145400762557983,False,
gru,vertical,row,16,single_pixel,none,1,0.50390625,0.4912109375,53634,8.036084175109863,False,
gru,vertical,row,16,single_pixel,none,2,0.517578125,0.509765625,53634,8.025439977645874,False,
gru,vertical,row,16,single_pixel,xy_learned,0,0.5068359375,0.498046875,55682,8.21439790725708,False,
gru,vertical,row,16,single_pixel,xy_learned,1,0.50390625,0.484375,55682,8.034050703048706,False,
gru,vertical,row,16,single_pixel,xy_learned,2,0.5087890625,0.4873046875,55682,8.279842853546143,False,
gru,vertical,row,24,single_patch,none,0,0.501953125,0.4951171875,53634,12.851887464523315,False,
gru,vertical,row,24,single_patch,none,1,0.5048828125,0.4990234375,53634,12.790896892547607,False,
gru,vertical,row,24,single_patch,none,2,0.5048828125,0.494140625,53634,12.66050410270691,False,
gru,vertical,row,24,single_patch,xy_learned,0,0.5029296875,0.482421875,56706,13.473668098449707,False,
gru,vertical,row,24,single_patch,xy_learned,1,0.5185546875,0.5029296875,56706,14.485969543457031,False,
gru,vertical,row,24,single_patch,xy_learned,2,0.5048828125,0.478515625,56706,13.522001028060913,False,
gru,vertical,row,24,single_pixel,none,0,0.5185546875,0.5185546875,53634,12.921258926391602,False,
gru,vertical,row,24,single_pixel,none,1,0.5009765625,0.5009765625,53634,13.159144878387451,False,
gru,vertical,row,24,single_pixel,none,2,0.490234375,0.490234375,53634,12.868470668792725,False,
gru,vertical,row,24,single_pixel,xy_learned,0,0.4921875,0.4814453125,56706,13.107446432113647,False,
gru,vertical,row,24,single_pixel,xy_learned,1,0.509765625,0.5078125,56706,13.306540489196777,False,
