block_type,task_dir,branch_dirs,grid_size,signal_strength,pos_mode,seed,best_acc,last_acc,param_count,elapsed_sec,skipped,skip_reason
gru,vertical,row,8,single_patch,xy_learned,0,0.52734375,0.521484375,54658,4.1988606452941895,False,
gru,vertical,row,8,single_patch,xy_learned,1,0.578125,0.578125,54658,4.192907810211182,False,
gru,vertical,row,8,single_patch,xy_learned,2,0.537109375,0.5234375,54658,4.255447149276733,False,
gru,vertical,row,16,single_patch,xy_learned,0,0.533203125,0.521484375,55682,15.68154501914978,False,
gru,vertical,row,16,single_patch,xy_learned,1,0.505859375,0.482421875,55682,17.88626194000244,False,
gru,vertical,row,16,single_patch,xy_learned,2,0.490234375,0.490234375,55682,16.80635118484497,False,
gru,vertical,col,8,single_patch,xy_learned,0,1.0,1.0,54658,5.972337007522583,False,
gru,vertical,col,8,single_patch,xy_learned,1,1.0,1.0,54658,6.18637228012085,False,
gru,vertical,col,8,single_patch,xy_learned,2,1.0,1.0,54658,6.205606937408447,False,
gru,vertical,col,16,single_patch,xy_learned,0,0.998046875,0.998046875,55682,16.973363876342773,False,
gru,vertical,col,16,single_patch,xy_learned,1,0.8984375,0.8984375,55682,17.254718780517578,False,
gru,vertical,col,16,single_patch,xy_learned,2,1.0,1.0,55682,16.394181966781616,False,
gru,horizontal,row,8,single_patch,xy_learned,0,1.0,0.998046875,54658,5.767607927322388,False,
gru,horizontal,row,8,single_patch,xy_learned,1,1.0,1.0,54658,6.241060733795166,False,
gru,horizontal,row,8,single_patch,xy_learned,2,1.0,1.0,54658,6.282148122787476,False,
gru,horizontal,row,16,single_patch,xy_learned,0,0.96875,0.96875,55682,17.26996684074402,False,
gru,horizontal,row,16,single_patch,xy_learned,1,0.99609375,0.99609375,55682,16.62927794456482,False,
gru,horizontal,row,16,single_patch,xy_learned,2,0.998046875,0.998046875,55682,17.36733317375183,False,
gru,horizontal,col,8,single_patch,xy_learned,0,0.517578125,0.51171875,54658,6.186600923538208,False,
gru,horizontal,col,8,single_patch,xy_learned,1,0.525390625,0.5,54658,6.309061050415039,False,
gru,horizontal,col,8,single_patch,xy_learned,2,0.51171875,0.49609375,54658,5.994311094284058,False,
gru,horizontal,col,16,single_patch,xy_learned,0,0.5078125,0.486328125,55682,17.253649950027466,False,
gru,horizontal,col,16,single_patch,xy_learned,1,0.501953125,0.4765625,55682,17.418630123138428,False,
gru,horizontal,col,16,single_patch,xy_learned,2,0.498046875,0.478515625,55682,17.34149193763733,False,
