block_type,task_dir,branch_dirs,grid_size,signal_strength,pos_mode,seed,best_acc,last_acc,param_count,elapsed_sec,skipped,skip_reason
mamba,vertical,row,8,single_patch,xy_learned,0,0.509765625,0.490234375,70018,5.760251760482788,False,
mamba,vertical,row,8,single_patch,xy_learned,1,0.53515625,0.53515625,70018,3.720057725906372,False,
mamba,vertical,row,8,single_patch,xy_learned,2,0.4921875,0.486328125,70018,3.254720449447632,False,
mamba,vertical,row,16,single_patch,xy_learned,0,0.53125,0.53125,71042,5.500096797943115,False,
mamba,vertical,row,16,single_patch,xy_learned,1,0.4765625,0.4765625,71042,5.430810928344727,False,
mamba,vertical,row,16,single_patch,xy_learned,2,0.5078125,0.50390625,71042,5.429105997085571,False,
mamba,vertical,col,8,single_patch,xy_learned,0,1.0,1.0,70018,3.5403246879577637,False,
mamba,vertical,col,8,single_patch,xy_learned,1,1.0,1.0,70018,3.4529690742492676,False,
mamba,vertical,col,8,single_patch,xy_learned,2,0.962890625,0.962890625,70018,3.963249683380127,False,
mamba,vertical,col,16,single_patch,xy_learned,0,0.5625,0.5625,71042,6.194383144378662,False,
mamba,vertical,col,16,single_patch,xy_learned,1,1.0,1.0,71042,6.004199981689453,False,
mamba,vertical,col,16,single_patch,xy_learned,2,0.5625,0.5625,71042,5.432197332382202,False,
mamba,horizontal,row,8,single_patch,xy_learned,0,1.0,1.0,70018,3.5903961658477783,False,
mamba,horizontal,row,8,single_patch,xy_learned,1,0.998046875,0.998046875,70018,3.45467209815979,False,
mamba,horizontal,row,8,single_patch,xy_learned,2,1.0,1.0,70018,3.154390811920166,False,
mamba,horizontal,row,16,single_patch,xy_learned,0,0.5234375,0.5234375,71042,5.191935300827026,False,
mamba,horizontal,row,16,single_patch,xy_learned,1,1.0,1.0,71042,5.125041961669922,False,
mamba,horizontal,row,16,single_patch,xy_learned,2,1.0,1.0,71042,5.1515748500823975,False,
mamba,horizontal,col,8,single_patch,xy_learned,0,0.513671875,0.501953125,70018,3.375446081161499,False,
mamba,horizontal,col,8,single_patch,xy_learned,1,0.52734375,0.49609375,70018,3.1648826599121094,False,
mamba,horizontal,col,8,single_patch,xy_learned,2,0.505859375,0.505859375,70018,3.1586194038391113,False,
mamba,horizontal,col,16,single_patch,xy_learned,0,0.494140625,0.47265625,71042,5.318661689758301,False,
mamba,horizontal,col,16,single_patch,xy_learned,1,0.46484375,0.435546875,71042,5.444795846939087,False,
mamba,horizontal,col,16,single_patch,xy_learned,2,0.498046875,0.474609375,71042,5.467083215713501,False,
