block_type,task_dir,branch_dirs,grid_size,signal_strength,pos_mode,seed,backbone_best_acc,backbone_last_acc,probe_best_acc,probe_last_acc,row_distance,col_distance,scan_distance,param_count,probe_param_count,elapsed_sec,skipped,skip_reason
gru,vertical,row,8,single_patch,xy_learned,0,0.509765625,0.48046875,0.498046875,0.4833984375,7.0,0.0,56.0,54658,130,15.31458306312561,False,
gru,vertical,row,8,single_patch,xy_learned,1,0.517578125,0.48828125,0.5380859375,0.517578125,7.0,0.0,56.0,54658,130,14.306034088134766,False,
gru,vertical,row,8,single_patch,xy_learned,2,0.5166015625,0.49609375,0.51171875,0.5068359375,7.0,0.0,56.0,54658,130,14.41059136390686,False,
gru,vertical,row,16,single_patch,xy_learned,0,0.5,0.4873046875,0.4990234375,0.4990234375,15.0,0.0,240.0,55682,130,21.732436180114746,False,
gru,vertical,row,16,single_patch,xy_learned,1,0.5048828125,0.5048828125,0.513671875,0.5,15.0,0.0,240.0,55682,130,23.965169668197632,False,
gru,vertical,row,16,single_patch,xy_learned,2,0.52734375,0.50390625,0.5087890625,0.5087890625,15.0,0.0,240.0,55682,130,24.013979196548462,False,
gru,vertical,row,24,single_patch,xy_learned,0,0.5029296875,0.482421875,0.4736328125,0.4716796875,23.0,0.0,552.0,56706,130,35.916696548461914,False,
gru,vertical,row,24,single_patch,xy_learned,1,0.5185546875,0.5029296875,0.509765625,0.5,23.0,0.0,552.0,56706,130,34.06171655654907,False,
gru,vertical,row,24,single_patch,xy_learned,2,0.5048828125,0.478515625,0.4892578125,0.478515625,23.0,0.0,552.0,56706,130,34.09963512420654,False,
gru,vertical,row,32,single_patch,xy_learned,0,0.509765625,0.4794921875,0.5029296875,0.4892578125,31.0,0.0,992.0,57730,130,63.845348596572876,False,
gru,vertical,row,32,single_patch,xy_learned,1,0.51953125,0.517578125,0.5244140625,0.4697265625,31.0,0.0,992.0,57730,130,59.40890121459961,False,
gru,vertical,row,32,single_patch,xy_learned,2,0.4990234375,0.4990234375,0.517578125,0.5029296875,31.0,0.0,992.0,57730,130,59.159125089645386,False,
gru,vertical,col,8,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,54658,130,13.980198383331299,False,
gru,vertical,col,8,single_patch,xy_learned,1,1.0,1.0,1.0,1.0,7.0,0.0,7.0,54658,130,14.263412714004517,False,
gru,vertical,col,8,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,7.0,0.0,7.0,54658,130,13.96082878112793,False,
gru,vertical,col,16,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,15.0,0.0,15.0,55682,130,22.866233587265015,False,
gru,vertical,col,16,single_patch,xy_learned,1,1.0,1.0,1.0,1.0,15.0,0.0,15.0,55682,130,23.294435262680054,False,
gru,vertical,col,16,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,15.0,0.0,15.0,55682,130,21.721505165100098,False,
gru,vertical,col,24,single_patch,xy_learned,0,0.9580078125,0.9580078125,0.9677734375,0.9677734375,23.0,0.0,23.0,56706,130,34.42487454414368,False,
gru,vertical,col,24,single_patch,xy_learned,1,0.5048828125,0.5,0.5126953125,0.5029296875,23.0,0.0,23.0,56706,130,34.62279963493347,False,
gru,vertical,col,24,single_patch,xy_learned,2,0.5029296875,0.4931640625,0.5107421875,0.486328125,23.0,0.0,23.0,56706,130,34.46471929550171,False,
gru,vertical,col,32,single_patch,xy_learned,0,0.48828125,0.4873046875,0.5107421875,0.50390625,31.0,0.0,31.0,57730,130,60.27683758735657,False,
gru,vertical,col,32,single_patch,xy_learned,1,0.521484375,0.521484375,0.5361328125,0.490234375,31.0,0.0,31.0,57730,130,61.95841121673584,False,
gru,vertical,col,32,single_patch,xy_learned,2,0.5009765625,0.5009765625,0.5087890625,0.4921875,31.0,0.0,31.0,57730,130,62.15578556060791,False,
gru,horizontal,row,8,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,0.0,7.0,7.0,54658,130,14.593334197998047,False,
gru,horizontal,row,8,single_patch,xy_learned,1,0.9990234375,0.9990234375,0.9990234375,0.9990234375,0.0,7.0,7.0,54658,130,14.776906967163086,False,
gru,horizontal,row,8,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,0.0,7.0,7.0,54658,130,14.489018440246582,False,
gru,horizontal,row,16,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,0.0,15.0,15.0,55682,130,22.19724464416504,False,
gru,horizontal,row,16,single_patch,xy_learned,1,1.0,1.0,1.0,1.0,0.0,15.0,15.0,55682,130,22.06747269630432,False,
gru,horizontal,row,16,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,0.0,15.0,15.0,55682,130,22.247478723526,False,
gru,horizontal,row,24,single_patch,xy_learned,0,0.52734375,0.52734375,0.537109375,0.5341796875,0.0,23.0,23.0,56706,130,34.53937792778015,False,
gru,horizontal,row,24,single_patch,xy_learned,1,0.509765625,0.498046875,0.5078125,0.4794921875,0.0,23.0,23.0,56706,130,34.52047896385193,False,
gru,horizontal,row,24,single_patch,xy_learned,2,0.51171875,0.5068359375,0.5185546875,0.501953125,0.0,23.0,23.0,56706,130,34.71480321884155,False,
gru,horizontal,row,32,single_patch,xy_learned,0,0.5126953125,0.4970703125,0.48828125,0.4873046875,0.0,31.0,31.0,57730,130,60.358617544174194,False,
gru,horizontal,row,32,single_patch,xy_learned,1,0.5224609375,0.4990234375,0.501953125,0.4931640625,0.0,31.0,31.0,57730,130,60.70122718811035,False,
gru,horizontal,row,32,single_patch,xy_learned,2,0.5185546875,0.5185546875,0.533203125,0.5244140625,0.0,31.0,31.0,57730,130,59.64038324356079,False,
