block_type,grid,epoch,acc_row,acc_col,acc_real_4dir,acc_same_row_4,acc_shuffle_row,delta_direction,order_utilization
gru,8,1,0.3337,0.3254,0.3531,0.3491,0.3279,0.0040000000000000036,0.005799999999999972
gru,8,2,0.4002,0.4065,0.435,0.4211,0.3915,0.013900000000000023,0.008699999999999986
gru,8,3,0.4658,0.4593,0.4996,0.4963,0.4466,0.0032999999999999696,0.019199999999999995
gru,8,4,0.5033,0.4876,0.5542,0.5485,0.4774,0.005700000000000038,0.02589999999999998
gru,8,5,0.5226,0.5158,0.5511,0.5607,0.494,-0.009599999999999942,0.02859999999999996
gru,8,6,0.5587,0.5561,0.6119,0.6063,0.5263,0.005600000000000049,0.032399999999999984
gru,8,7,0.6052,0.5844,0.6334,0.643,0.5535,-0.009600000000000053,0.05169999999999997
gru,8,8,0.6095,0.5901,0.6238,0.6446,0.5492,-0.02079999999999993,0.06030000000000002
gru,8,9,0.6359,0.6084,0.6497,0.6412,0.5707,0.008500000000000063,0.06520000000000004
gru,8,10,0.6386,0.6089,0.6627,0.6673,0.5749,-0.0046000000000000485,0.06369999999999998
gru,8,11,0.652,0.6328,0.6741,0.6755,0.5942,-0.0013999999999999568,0.057800000000000074
gru,8,12,0.6524,0.6362,0.6822,0.6834,0.5864,-0.0011999999999999789,0.06599999999999995
gru,8,13,0.6565,0.6474,0.6884,0.687,0.6061,0.0013999999999999568,0.0504
gru,8,14,0.671,0.6589,0.6978,0.6947,0.61,0.0030999999999999917,0.061000000000000054
gru,8,15,0.6764,0.6592,0.7077,0.7064,0.611,0.0012999999999999678,0.06540000000000001
gru,8,16,0.6762,0.6642,0.7088,0.7101,0.6197,-0.0012999999999999678,0.056499999999999995
gru,8,17,0.6788,0.6765,0.7118,0.713,0.625,-0.0011999999999999789,0.05379999999999996
gru,8,18,0.6821,0.6823,0.7176,0.7133,0.6247,0.0042999999999999705,0.05740000000000001
gru,8,19,0.6955,0.6834,0.7225,0.7129,0.6287,0.009600000000000053,0.06679999999999997
gru,8,20,0.6873,0.6793,0.7133,0.713,0.6374,0.000300000000000078,0.049900000000000055
gru,8,21,0.6972,0.689,0.7297,0.7225,0.6411,0.007199999999999984,0.05610000000000004
gru,8,22,0.6912,0.6872,0.7215,0.7259,0.6347,-0.0043999999999999595,0.056499999999999995
gru,8,23,0.7015,0.691,0.7363,0.7355,0.6516,0.0007999999999999119,0.049900000000000055
gru,8,24,0.6973,0.6934,0.7345,0.7298,0.6517,0.0047000000000000375,0.045600000000000085
gru,8,25,0.713,0.7023,0.7418,0.7343,0.6521,0.007500000000000062,0.060899999999999954
gru,8,26,0.7035,0.7027,0.7331,0.7294,0.6472,0.0036999999999999256,0.05630000000000002
gru,8,27,0.6959,0.7057,0.73,0.7295,0.6554,0.0004999999999999449,0.04049999999999998
gru,8,28,0.7179,0.7104,0.7551,0.7438,0.6594,0.011299999999999977,0.058499999999999996
