block_type,grid,variant,seed,micro_batch,accum_steps,epoch,lr,lr_scale,train_loss,train_acc,test_loss,test_acc,train_sec,eval_sec,epoch_wall_sec
mamba,8,same_row_4,0,128,1,1,0.0002,0.2,1.9345170241135818,0.2823317307692308,1.7250122436523438,0.3589,17.141588485000014,1.4435636980000197,18.58515528299999
mamba,8,same_row_4,0,128,1,2,0.0004,0.4,1.5946766584347456,0.41478365384615384,1.4813955871582032,0.463,14.889729283999998,1.3225379559999908,16.212268840000007
mamba,8,same_row_4,0,128,1,3,0.0006,0.6,1.3697622769918196,0.5063701923076923,1.2840611251831056,0.5317,14.348806544000013,1.3790908430000002,15.727899186999991
mamba,8,same_row_4,0,128,1,4,0.0008,0.8,1.226854281242077,0.5635817307692308,1.1267170166015625,0.5967,14.66396736499999,1.860136452000006,16.52410691700001
mamba,8,same_row_4,0,128,1,5,0.001,1.0,1.1324612849797957,0.5953125,1.123853384399414,0.6,15.003745977000023,1.3454239470000005,16.349171524000013
mamba,8,same_row_4,0,128,1,6,0.000999726628670463,0.999726628670463,1.0481890079302665,0.6256209935897435,0.9765867248535156,0.6526,15.122002391999985,1.3864008439999793,16.50840633599998
mamba,8,same_row_4,0,128,1,7,0.0009989068136093873,0.9989068136093873,0.9885931854064648,0.6475560897435897,0.9158377777099609,0.6769,17.538619971000003,1.5204119189999972,19.059033589999984
mamba,8,same_row_4,0,128,1,8,0.0009975414512725057,0.9975414512725057,0.9403904957649035,0.6669070512820513,0.8981781356811523,0.6827,16.553756378000003,1.5078327990000275,18.061592176999966
mamba,8,same_row_4,0,128,1,9,0.0009956320346634876,0.9956320346634876,0.899396960857587,0.682071314102564,0.8613974731445313,0.6916,15.894219245999977,1.531292129999997,17.425513575999958
mamba,8,same_row_4,0,128,1,10,0.0009931806517013613,0.9931806517013612,0.8746488071404971,0.6887820512820513,0.8665185806274414,0.6933,15.694704301000002,1.656968715000005,17.35167581600001
mamba,8,same_row_4,0,128,1,11,0.0009901899829374047,0.9901899829374047,0.8435892008818113,0.700801282051282,0.8272502738952636,0.7113,16.03317673800001,1.4841409109999972,17.51732354899997
mamba,8,same_row_4,0,128,1,12,0.000986663298624003,0.9866632986240029,0.8194258529406327,0.7111177884615385,0.8019781684875489,0.7138,17.809944857000005,1.4114721880000047,19.22141914499997
mamba,8,same_row_4,0,128,1,13,0.0009826044551386743,0.9826044551386743,0.7926300323926485,0.7219150641025641,0.8047563575744628,0.7159,16.597576555000046,1.5263888940000356,18.12396774900003
mamba,8,same_row_4,0,128,1,14,0.0009780178907671788,0.9780178907671788,0.7673856352384274,0.7290865384615385,0.7672645156860352,0.7319,16.302533304000008,1.608443985000008,17.910979089000023
mamba,8,same_row_4,0,128,1,15,0.0009729086208503173,0.9729086208503173,0.7497217847750737,0.7373197115384615,0.7401730300903321,0.7397,18.180459190000022,1.7419753760000276,19.92243746600002
mamba,8,same_row_4,0,128,1,16,0.0009672822322997304,0.9672822322997304,0.7340949211365138,0.74140625,0.7416114967346191,0.7396,17.610094409,1.508850587999973,19.118953596999972
mamba,8,same_row_4,0,128,1,17,0.0009611448774886924,0.9611448774886924,0.7090664382164295,0.7498998397435898,0.7199755069732666,0.743,17.201623971000004,1.8013763939999876,19.003002864999985
mamba,8,same_row_4,0,128,1,18,0.0009545032675245813,0.9545032675245813,0.6936026417292082,0.7553084935897436,0.7072393901824952,0.7519,20.144279418999986,1.9286645930000077,22.07294691200002
mamba,8,same_row_4,0,128,1,19,0.0009473646649103818,0.9473646649103817,0.6797146627536187,0.7602163461538461,0.6946284534454346,0.756,16.907155328999977,1.737962192999987,18.645120022000015
mamba,8,same_row_4,0,128,1,20,0.0009397368756032445,0.9397368756032445,0.6674988634311236,0.7651241987179487,0.6982965242385865,0.7553,17.495689287000005,1.7059501030000206,19.20164249000004
mamba,8,same_row_4,0,128,1,21,0.000931628240478787,0.931628240478787,0.6535231551298728,0.7704527243589744,0.6946727495193481,0.7584,17.63530015599997,1.6032972670000163,19.238601122999967
mamba,8,same_row_4,0,128,1,22,0.0009230476262104677,0.9230476262104677,0.6438513253743832,0.7765224358974359,0.6928657485961914,0.7588,16.695303481000053,1.4810296790000166,18.17633526000003
mamba,8,same_row_4,0,128,1,23,0.00091400441557401,0.91400441557401,0.6284409056107203,0.7802884615384615,0.6739395256042481,0.7707,15.26589228399996,1.436423196000078,16.70231717999991
mamba,8,same_row_4,0,128,1,24,0.0009045084971874737,0.9045084971874737,0.6204202082676765,0.7823717948717949,0.6718259624481201,0.7694,15.789483600999915,1.916476512000031,17.705962612999997
mamba,8,same_row_4,0,128,1,25,0.0008945702546981969,0.8945702546981968,0.6070621200096913,0.7869190705128205,0.6724055227279663,0.7702,19.573250620999943,2.113662078999937,21.686915699999986
mamba,8,same_row_4,0,128,1,26,0.0008842005554284296,0.8842005554284296,0.6021556492035206,0.7876802884615385,0.6721021598815918,0.7725,18.011676087999945,1.5364488860000165,19.54812807399992
mamba,8,same_row_4,0,128,1,27,0.000873410738492077,0.873410738492077,0.587549417752486,0.7939703525641025,0.6893340596199036,0.7607,15.198192163000044,1.4369171360000337,16.635111198999994
mamba,8,same_row_4,0,128,1,28,0.0008622126023955446,0.8622126023955445,0.5838171724325572,0.7930689102564102,0.6529889504432678,0.7737,15.073812019000002,1.4108409819999679,16.484654901
mamba,8,same_row_4,0,128,1,29,0.0008506183921362443,0.8506183921362442,0.5738597679596681,0.7986778846153846,0.6479279117584229,0.7764,15.233571679000079,1.423043415000052,16.656617994000044
mamba,8,same_row_4,0,128,1,30,0.0008386407858128706,0.8386407858128706,0.5645506606652186,0.8023237179487179,0.6426573069572449,0.776,16.180850417999977,1.5635023050000427,17.744355423000002
mamba,8,same_row_4,0,128,1,31,0.0008262928807620843,0.8262928807620843,0.5616434923349283,0.8022836538461539,0.649226525068283,0.7749,21.51705287499999,1.9166579859999047,23.433714660999954
mamba,8,same_row_4,0,128,1,32,0.0008135881792367685,0.8135881792367685,0.5458631146412629,0.8078525641025641,0.6525635682106018,0.7742,15.886394470999903,1.4613614909999342,17.347757661999935
mamba,8,same_row_4,0,128,1,33,0.0008005405736415125,0.8005405736415125,0.5442705643100616,0.8110376602564102,0.6342097228527069,0.7816,15.131461565000109,1.4424716110000873,16.57393537600001
mamba,8,same_row_4,0,128,1,34,0.0007871643313414718,0.7871643313414718,0.5377328184934763,0.8092147435897435,0.6537660872459412,0.7756,14.781436221000035,1.5058514659999673,16.287289686999998
