block_type,grid,epoch,acc_row,acc_col,acc_real_4dir,acc_same_row_4,acc_shuffle_row,delta_direction,order_utilization
gru,8,1,0.4242,0.4238,0.4411,0.4307,0.4093,0.010399999999999965,0.014900000000000024
gru,8,2,0.4242,0.4238,0.4411,0.4307,0.4093,0.010399999999999965,0.014900000000000024
gru,16,1,0.4166,0.4536,0.474,0.4492,0.4255,0.02479999999999999,-0.008899999999999963
gru,16,2,0.4166,0.4536,0.474,0.4492,0.4255,0.02479999999999999,-0.008899999999999963
gru,32,1,0.3484,0.3703,0.3993,0.3703,0.3486,0.02899999999999997,-0.00020000000000003348
gru,32,2,0.3484,0.3703,0.3993,0.3703,0.3486,0.02899999999999997,-0.00020000000000003348
mamba,8,1,0.4481,0.4443,0.4794,0.4791,0.4143,0.00029999999999996696,0.0338
mamba,8,2,0.4481,0.4443,0.4794,0.4791,0.4143,0.00029999999999996696,0.0338
mamba,16,1,0.4699,0.4569,0.4969,0.4929,0.4025,0.0040000000000000036,0.06739999999999996
mamba,16,2,0.4699,0.4569,0.4969,0.4929,0.4025,0.0040000000000000036,0.06739999999999996
mamba,32,1,0.3969,0.3915,0.4483,0.437,0.3192,0.011299999999999977,0.07769999999999999
mamba,32,2,0.3969,0.3915,0.4483,0.437,0.3192,0.011299999999999977,0.07769999999999999
