block_type,grid,variant,seed,micro_batch,accum_steps,epoch,lr,lr_scale,train_loss,train_acc,test_loss,test_acc,train_sec,eval_sec,epoch_wall_sec
mamba,8,same_row_4,0,128,1,1,0.001,1.0,1.7000404480176095,0.36907051282051284,1.4432931060791017,0.4791,35.370865762,3.7145864219999964,39.085454384
mamba,8,same_row_4,0,128,1,2,0.0,0.0,1.4205302813114264,0.48489583333333336,1.4432931060791017,0.4791,35.342683201999996,3.7504902339999973,39.093176636
mamba,8,real_4dir,0,128,1,1,0.001,1.0,1.6868249795375727,0.3756209935897436,1.4249096755981445,0.4794,33.290869969,3.273255106999997,36.564127176
mamba,8,real_4dir,0,128,1,2,0.0,0.0,1.4090424852493482,0.49014423076923075,1.4249096755981445,0.4794,32.975341208,3.3800488720000033,36.35539288000001
gru,8,row,0,128,1,1,0.001,1.0,1.7650943878369454,0.34216746794871794,1.5634509521484374,0.4242,20.925210050999993,2.4449378330000116,23.370149884
gru,8,row,0,128,1,2,0.0,0.0,1.571608462700477,0.4233974358974359,1.5634509521484374,0.4242,23.259949343999978,2.554589845999999,25.814541789999993
gru,8,shuffle_row,0,128,1,1,0.001,1.0,1.7990540602268317,0.328125,1.611742266845703,0.4093,20.394701357999992,2.4675244439999915,22.862228601999988
gru,8,shuffle_row,0,128,1,2,0.0,0.0,1.6208872905144325,0.3969150641025641,1.611742266845703,0.4093,22.186100847999967,2.2737285029999725,24.45983105099998
gru,8,col,0,128,1,1,0.001,1.0,1.769405501928085,0.34162660256410254,1.5775086303710937,0.4238,19.526589420999983,2.148178609000013,21.67477002999999
gru,8,col,0,128,1,2,0.0,0.0,1.5704438026134784,0.42235576923076923,1.5775086303710937,0.4238,21.124962953000022,2.325253850000024,23.45021850300003
gru,8,same_row_4,0,128,1,1,0.001,1.0,1.7475171553782927,0.34869791666666666,1.5612747314453126,0.4307,22.962134503000016,2.5487890690000086,25.510924971999998
gru,8,same_row_4,0,128,1,2,0.0,0.0,1.5194873076218824,0.4501602564102564,1.5612747314453126,0.4307,22.23578818300001,2.790318918999958,25.026109202000043
gru,8,real_4dir,0,128,1,1,0.001,1.0,1.7327077572162335,0.3546875,1.5236773681640625,0.4411,22.75214417699999,2.565275200999963,25.317420878000007
gru,8,real_4dir,0,128,1,2,0.0,0.0,1.49772777679639,0.45292467948717946,1.5236773681640625,0.4411,22.42740621600001,2.570163061999949,24.99757207800002
gru,16,row,0,128,1,1,0.001,1.0,1.786410791446001,0.3347956730769231,1.565023291015625,0.4166,21.317345735000004,2.4372035659999938,23.75455180099999
gru,16,row,0,128,1,2,0.0,0.0,1.5413426839388333,0.43547676282051284,1.565023291015625,0.4166,19.68441765900002,2.265149887000007,21.949569346000033
gru,16,shuffle_row,0,128,1,1,0.001,1.0,1.7992621910877717,0.33161057692307694,1.5662588989257813,0.4255,19.673117616000013,2.261150520000001,21.934270036000044
gru,16,shuffle_row,0,128,1,2,0.0,0.0,1.5839260199131109,0.41993189102564105,1.5662588989257813,0.4255,19.775501066000004,2.299323431000005,22.074826297000016
gru,16,col,0,128,1,1,0.001,1.0,1.7665666824732071,0.34561298076923075,1.486757733154297,0.4536,19.588006619999987,2.4031682509998973,21.991176771000028
gru,16,col,0,128,1,2,0.0,0.0,1.506489983583108,0.4503004807692308,1.486757733154297,0.4536,20.24408688999995,2.4356946130000097,22.679783502999953
gru,16,same_row_4,0,128,1,1,0.001,1.0,1.7568947645334096,0.34817708333333336,1.5096821960449218,0.4492,31.319337260999987,3.19316740499994,34.51250706600001
gru,16,same_row_4,0,128,1,2,0.0,0.0,1.4906559589581612,0.46243990384615385,1.5096821960449218,0.4492,28.980427373999987,3.21269719899999,32.19312607300003
gru,16,real_4dir,0,128,1,1,0.001,1.0,1.7300956738300812,0.3594551282051282,1.4604596069335938,0.474,29.109358702999998,3.2396730540000362,32.349033456999905
gru,16,real_4dir,0,128,1,2,0.0,0.0,1.4401796438755132,0.4770232371794872,1.4604596069335938,0.474,29.106642405000002,3.242429166000079,32.34907327099995
gru,32,row,0,128,1,1,0.001,1.0,1.9078113164657202,0.29298878205128204,1.7594076416015625,0.3484,26.684255749000044,2.923424852999915,29.607683002000044
gru,32,row,0,128,1,2,0.0,0.0,1.7303787647149502,0.364042467948718,1.7594076416015625,0.3484,26.724153843000067,3.04227452300006,29.766430065999998
gru,32,shuffle_row,0,128,1,1,0.001,1.0,1.9186115436064892,0.2854767628205128,1.7860331787109376,0.3486,28.788337992999914,2.904440174000001,31.69277996699998
gru,32,shuffle_row,0,128,1,2,0.0,0.0,1.7817337085039189,0.34939903846153847,1.7860331787109376,0.3486,27.38389552000001,2.9794824089999565,30.363379728999917
gru,32,col,0,128,1,1,0.001,1.0,1.8569648791582156,0.31454326923076925,1.6917057983398438,0.3703,27.419493994999925,2.9568912769999542,30.376386872000012
gru,32,col,0,128,1,2,0.0,0.0,1.6636500554207043,0.3963741987179487,1.6917057983398438,0.3703,27.095881164999923,3.0084912399998984,30.104374205
gru,32,same_row_4,0,128,1,1,0.001,1.0,1.8898795470213279,0.301181891025641,1.70522314453125,0.3703,60.998087113999986,5.543685497999945,66.54177461199993
gru,32,same_row_4,0,128,1,2,0.0,0.0,1.6900731037824581,0.38611778846153844,1.70522314453125,0.3703,62.61763432800001,5.544253749999939,68.16188997799998
gru,32,real_4dir,0,128,1,1,0.001,1.0,1.8182362116300144,0.3299479166666667,1.6214269409179687,0.3993,63.136566431000006,5.9368625550000615,69.07343088599998
gru,32,real_4dir,0,128,1,2,0.0,0.0,1.5691666346329909,0.4283253205128205,1.6214269409179687,0.3993,64.40188595299992,5.944521632000033,70.34640948499987
mamba,8,row,0,128,1,1,0.001,1.0,1.7283584227928748,0.3580729166666667,1.5203869659423828,0.4481,19.69235801900004,2.2034239139998135,21.895784133000006
mamba,8,row,0,128,1,2,0.0,0.0,1.4967828322679568,0.45530849358974357,1.5203869659423828,0.4481,19.383942525000066,2.2257119139999304,21.60965623900006
mamba,8,shuffle_row,0,128,1,1,0.001,1.0,1.7883064196659968,0.331270032051282,1.5952050354003906,0.4143,19.566870324999854,2.5499095159998433,22.11678164099999
mamba,8,shuffle_row,0,128,1,2,0.0,0.0,1.5644567868648431,0.42481971153846154,1.5952050354003906,0.4143,21.817296038999984,2.2159366139999292,24.033235153000078
mamba,8,col,0,128,1,1,0.001,1.0,1.7353834457886526,0.35352564102564105,1.5042763244628907,0.4443,19.37362392199998,2.1993483139999626,21.572974535999947
mamba,8,col,0,128,1,2,0.0,0.0,1.485509068537981,0.45544871794871794,1.5042763244628907,0.4443,19.298690119999947,2.2206438139999136,21.519335733999924
mamba,16,row,0,128,1,1,0.001,1.0,1.7153389563927284,0.36592548076923076,1.4563064483642578,0.4699,21.89526993200002,2.2690808130000732,24.164352645000008
mamba,16,row,0,128,1,2,0.0,0.0,1.434019177999252,0.47974759615384616,1.4563064483642578,0.4699,22.865851912999915,2.3641644079998514,25.230018020999978
mamba,16,shuffle_row,0,128,1,1,0.001,1.0,1.80511293166723,0.32814503205128204,1.6506625946044922,0.4025,24.60423516600008,2.7062683829999514,27.310506249000127
mamba,16,shuffle_row,0,128,1,2,0.0,0.0,1.5997704774905475,0.414823717948718,1.6506625946044922,0.4025,22.07521156200005,2.3658654770001704,24.441078839000056
mamba,16,col,0,128,1,1,0.001,1.0,1.7314270777580065,0.3591546474358974,1.4811865234375,0.4569,22.031563269000117,2.2745675929998015,24.30613266200021
mamba,16,col,0,128,1,2,0.0,0.0,1.4383319860849626,0.4795272435897436,1.4811865234375,0.4569,21.97356336100006,2.330840513999874,24.304405475000067
mamba,16,same_row_4,0,128,1,1,0.001,1.0,1.685776434189234,0.37520032051282054,1.4101396575927734,0.4929,38.22113738999997,3.25754360000019,41.47868319000008
mamba,16,same_row_4,0,128,1,2,0.0,0.0,1.3920784485645783,0.49635416666666665,1.4101396575927734,0.4929,38.031849921,3.359426699999858,41.391278521000004
mamba,16,real_4dir,0,128,1,1,0.001,1.0,1.6806194684444329,0.3769030448717949,1.3983705841064453,0.4969,39.911919184,3.667663566999863,43.579584751000084
mamba,16,real_4dir,0,128,1,2,0.0,0.0,1.3670199742683997,0.5053886217948718,1.3983705841064453,0.4969,38.59725834400001,3.3133548840000913,41.91061522799987
mamba,32,row,0,64,2,1,0.001,1.0,1.8298286799432069,0.32552416773367476,1.6570395141601562,0.3969,38.809852070000034,3.214512326999966,42.02436629700014
mamba,32,row,0,64,2,2,0.0,0.0,1.6174003732952358,0.41305217669654287,1.6570395141601562,0.3969,38.501233619000004,3.295953461999943,41.79718948100003
mamba,32,shuffle_row,0,64,2,1,0.001,1.0,1.912741459591288,0.2867917733674776,1.858062451171875,0.3192,39.956994816999895,3.2758459309998216,43.23284324799988
mamba,32,shuffle_row,0,64,2,2,0.0,0.0,1.7944223352644721,0.3374079705505762,1.858062451171875,0.3192,42.097619656000006,3.2983739530000094,45.39599520900015
mamba,32,col,0,64,2,1,0.001,1.0,1.8291451726466532,0.31990236875800254,1.6593584167480468,0.3915,38.93332389500006,3.3002237700000023,42.23355056500009
mamba,32,col,0,64,2,2,0.0,0.0,1.630293660524102,0.4069702304737516,1.6593584167480468,0.3915,38.8075276269999,3.340069688000085,42.14759881500004
mamba,32,same_row_4,0,64,2,1,0.001,1.0,1.7925516988190127,0.3378881241997439,1.546928302001953,0.437,97.61750466100011,6.524895710999999,104.1424023720001
mamba,32,same_row_4,0,64,2,2,0.0,0.0,1.54116292677524,0.4392605633802817,1.546928302001953,0.437,97.60339926500001,6.593186177000007,104.19658754200009
mamba,32,real_4dir,0,64,2,1,0.001,1.0,1.755561030017887,0.3490717029449424,1.5278322509765625,0.4483,98.21803562700006,6.723177805999967,104.94121563299996
mamba,32,real_4dir,0,64,2,2,0.0,0.0,1.4810394734029733,0.4621478873239437,1.5278322509765625,0.4483,99.88963394999973,6.944258260999959,106.83389401099976
