block_type,grid,epoch,acc_row,acc_col,acc_real_4dir,acc_same_row_4,acc_shuffle_row,delta_direction,order_utilization
gru,32,1,0.2801,,,0.2941,0.2858,,-0.005699999999999983
gru,32,2,0.363,,,0.366,0.3678,,-0.0048000000000000265
gru,32,3,0.4133,,,0.4519,0.4381,,-0.02479999999999999
gru,32,4,0.487,,,0.5156,0.4679,,0.019100000000000006
gru,32,5,0.5267,,,0.559,0.4891,,0.03759999999999997
gru,32,6,0.5832,,,0.6176,0.5288,,0.054400000000000004
gru,32,7,0.6219,,,0.6455,0.5533,,0.0686
gru,32,8,0.6358,,,0.656,0.5675,,0.06830000000000003
gru,32,9,0.6528,,,0.6799,0.5933,,0.0595
gru,32,10,0.6659,,,0.6911,0.5977,,0.06820000000000004
gru,32,11,0.6734,,,0.7007,0.6144,,0.05900000000000005
gru,32,12,0.695,,,0.7136,0.6213,,0.07369999999999999
gru,32,13,0.6987,,,0.7137,0.6279,,0.07079999999999997
gru,32,14,0.7166,,,0.7322,0.6461,,0.07050000000000001
gru,32,15,0.7252,,,0.7359,0.6365,,0.0887
gru,32,16,0.7181,,,0.7321,0.6314,,0.0867
gru,32,17,0.7226,,,0.7219,0.6526,,0.07000000000000006
gru,32,18,0.7304,,,0.7465,0.6458,,0.08460000000000001
gru,32,19,0.7359,,,0.7537,0.6491,,0.08679999999999999
gru,32,20,0.7419,,,0.7474,0.6567,,0.08520000000000005
gru,32,21,0.7375,,,0.7555,0.6601,,0.07740000000000002
gru,32,22,0.7449,,,0.7605,0.6648,,0.08010000000000006
gru,32,23,0.7489,,,0.7644,0.6799,,0.06900000000000006
gru,32,24,0.7507,,,0.7673,0.6663,,0.08440000000000003
gru,32,25,0.7583,,,0.7673,0.6723,,0.08599999999999997
gru,32,26,0.7406,,,0.766,0.6641,,0.07650000000000001
gru,32,27,0.7353,,,0.7678,0.674,,0.06129999999999991
gru,32,28,0.7572,,,0.7824,0.6826,,0.0746
gru,32,29,0.7619,,,0.7824,0.6786,,0.08330000000000004
gru,32,30,0.7679,,,0.7807,0.6883,,0.0796
gru,32,31,0.7653,,,0.7854,0.6799,,0.08540000000000003
gru,32,32,0.767,,,0.787,0.6835,,0.08350000000000002
gru,32,33,0.7702,,,0.785,0.6894,,0.08079999999999998
gru,32,34,0.7706,,,0.7916,0.6988,,0.07179999999999997
gru,32,35,0.7756,,,0.7912,0.6926,,0.08299999999999996
gru,32,36,0.7716,,,0.786,0.6823,,0.08929999999999993
gru,32,37,0.7665,,,0.7875,0.6975,,0.06899999999999995
gru,32,38,0.7716,,,0.7943,0.6939,,0.07769999999999999
gru,32,39,0.7753,,,0.7888,0.6985,,0.07679999999999998
gru,32,40,0.775,,,0.7958,0.6965,,0.07850000000000001
gru,32,41,0.7789,,,0.7866,0.6926,,0.08630000000000004
gru,32,42,0.7755,,,0.7911,0.7016,,0.07389999999999997
gru,32,43,0.7771,,,0.7943,0.7037,,0.07340000000000002
gru,32,44,0.7859,,,0.8019,0.7004,,0.08550000000000002
gru,32,45,0.7799,,,0.8005,0.7085,,0.07140000000000002
gru,32,46,0.7761,,,0.7984,0.7096,,0.0665
gru,32,47,0.7823,,,0.8027,0.7103,,0.07199999999999995
gru,32,48,0.785,,,0.8117,0.7061,,0.07890000000000008
gru,32,49,0.772,,,0.7939,0.7108,,0.06120000000000003
gru,32,50,0.7886,,,0.8064,0.7079,,0.0807
gru,32,51,0.7882,,,0.8099,0.7115,,0.07669999999999999
gru,32,52,0.7915,,,0.8085,0.7162,,0.07530000000000003
gru,32,53,0.7955,,,0.8053,0.7111,,0.08440000000000003
gru,32,54,0.7903,,,0.8059,0.7139,,0.07640000000000002
gru,32,55,0.7907,,,0.805,0.7172,,0.07350000000000001
gru,32,56,0.7901,,,0.8016,0.7151,,0.07500000000000007
gru,32,57,0.7954,,,0.809,0.7182,,0.07720000000000005
gru,32,58,0.7919,,,0.8094,0.7198,,0.07210000000000005
gru,32,59,0.7972,,,0.8114,0.7192,,0.07800000000000007
gru,32,60,0.794,,,0.8088,0.72,,0.07400000000000007
gru,32,61,0.7951,,,0.8169,0.7229,,0.07220000000000004
gru,32,62,0.7997,,,0.8142,0.7226,,0.07709999999999995
gru,32,63,0.7932,,,0.803,0.7173,,0.07589999999999997
gru,32,64,0.8027,,,0.8136,0.7223,,0.08039999999999992
gru,32,65,0.7976,,,0.8118,0.7205,,0.07709999999999995
gru,32,66,0.8012,,,0.8146,0.7148,,0.08640000000000003
gru,32,67,0.7995,,,0.8166,0.7291,,0.07040000000000002
gru,32,68,0.7995,,,0.8157,0.7279,,0.0716
gru,32,69,0.8028,,,0.8175,0.7266,,0.07619999999999993
gru,32,70,0.8049,,,0.8114,0.7245,,0.08039999999999992
gru,32,71,0.8028,,,0.8132,0.7276,,0.07519999999999993
gru,32,72,0.8036,,,0.8168,0.7316,,0.07199999999999995
gru,32,73,0.8065,,,0.8155,0.7269,,0.0796
gru,32,74,0.8095,,,0.8187,0.7338,,0.07569999999999999
gru,32,75,0.8047,,,0.8199,0.7264,,0.07829999999999993
gru,32,76,0.8063,,,0.8186,0.7308,,0.07550000000000001
gru,32,77,0.8079,,,0.8171,0.7367,,0.07119999999999993
gru,32,78,0.8072,,,0.8145,0.7312,,0.07600000000000007
gru,32,79,0.8057,,,0.8182,0.7337,,0.07199999999999995
gru,32,80,0.8037,,,0.8181,0.7324,,0.07129999999999992
gru,32,81,0.8065,,,0.8203,0.7325,,0.07399999999999995
gru,32,82,0.8055,,,0.819,0.7358,,0.06969999999999998
gru,32,83,0.8096,,,0.8189,0.7365,,0.07309999999999994
gru,32,84,0.8082,,,0.8219,0.7328,,0.07540000000000002
gru,32,85,0.8097,,,0.8206,0.7344,,0.07529999999999992
gru,32,86,0.8093,,,0.8216,0.7302,,0.07910000000000006
gru,32,87,0.81,,,0.8187,0.7336,,0.07640000000000002
gru,32,88,0.8103,,,0.8228,0.735,,0.07530000000000003
gru,32,89,0.8111,,,0.8224,0.7358,,0.07530000000000003
gru,32,90,0.8093,,,0.8196,0.7359,,0.07340000000000002
gru,32,91,0.8101,,,0.8209,0.7359,,0.07420000000000004
gru,32,92,0.81,,,0.8227,0.7363,,0.0737000000000001
gru,32,93,0.8126,,,0.8208,0.7372,,0.07540000000000002
gru,32,94,0.8108,,,0.8244,0.7356,,0.07519999999999993
gru,32,95,0.8116,,,0.8206,0.7375,,0.07409999999999994
gru,32,96,0.8121,,,0.821,0.736,,0.07610000000000006
gru,32,97,0.8111,,,0.8225,0.7353,,0.07580000000000009
gru,32,98,0.8113,,,0.8224,0.7365,,0.07479999999999998
gru,32,99,0.8115,,,0.8228,0.7358,,0.07569999999999999
gru,32,100,0.8115,,,0.8228,0.7358,,0.07569999999999999
