matrix,dataset,block_type,grid,sequence_length,single_branch_runs,four_branch_runs,total_runs,full_epochs_per_run,single_branch_hours_per_run,four_branch_hours_per_run,cell_gpu_hours,estimated_energy_kwh,electricity_cny,compute_cny_at_1_per_gpu_hour,compute_cny_at_2_per_gpu_hour,compute_cny_at_3_per_gpu_hour
original_360,cifar10,gru,8,64,10,10,20,30,0.4476458141958337,1.3530540686151857,18.006998828110195,0.4535317470880705,0.2721190482528423,18.006998828110195,36.01399765622039,54.02099648433058
original_360,cifar10,gru,16,256,10,10,20,30,0.5599979009916676,1.6513449803552367,22.11342881346904,0.6012711495743543,0.3607626897446126,22.11342881346904,44.22685762693808,66.34028644040711
original_360,cifar10,gru,32,1024,10,10,20,30,0.9808468872374998,3.0265657713550733,40.074126585925725,2.004733228790051,1.2028399372740304,40.074126585925725,80.14825317185145,120.22237975777718
original_360,cifar10,mamba,8,64,10,10,20,30,0.5910380605041666,1.915702316682635,25.067403771868015,0.6579295553263824,0.39475773319582946,25.067403771868015,50.13480754373603,75.20221131560405
original_360,cifar10,mamba,16,256,10,10,20,30,0.5021188283458343,1.3388693634187643,18.40988191764599,0.5139271952993524,0.3083563171796114,18.40988191764599,36.81976383529198,55.22964575293797
original_360,cifar10,mamba,32,1024,10,10,20,30,0.5601591665541662,1.5812057528403693,21.413649193945357,0.8192764846834428,0.4915658908100657,21.413649193945357,42.827298387890714,64.24094758183607
original_360,cifar10_up64,gru,8,64,10,10,20,30,0.4561295362791668,1.5715942779933072,20.27723814272474,0.5195178613930098,0.31171071683580587,20.27723814272474,40.55447628544948,60.83171442817422
original_360,cifar10_up64,gru,16,256,10,10,20,30,0.5369329975708335,1.5033720645903452,20.403050621611786,0.5896039563549005,0.3537623738129403,20.403050621611786,40.80610124322357,61.20915186483536
original_360,cifar10_up64,gru,32,1024,10,10,20,30,0.9954575063208343,2.8439240543012962,38.39381560622131,1.929181861677451,1.1575091170064706,38.39381560622131,76.78763121244262,115.18144681866393
original_360,cifar10_up64,mamba,8,64,10,10,20,30,0.6182348414500003,1.7211565298609548,23.393913713109548,0.6283509083969802,0.3770105450381881,23.393913713109548,46.787827426219096,70.18174113932864
original_360,cifar10_up64,mamba,16,256,10,10,20,30,0.5464387636499983,1.3810090545497213,19.274478181997196,0.5368357316293215,0.3221014389775929,19.274478181997196,38.54895636399439,57.82343454599159
original_360,cifar10_up64,mamba,32,1024,10,10,20,30,0.5574588747666667,1.7809968352018732,23.3845570996854,0.904511125501119,0.5427066753006714,23.3845570996854,46.7691141993708,70.1536712990562
original_360,tiny_imagenet,gru,8,64,10,10,20,30,0.7789481860458333,2.173448126435258,29.523963124810916,0.7606817007843266,0.45640902047059595,29.523963124810916,59.04792624962183,88.57188937443274
original_360,tiny_imagenet,gru,16,256,10,10,20,30,0.9549519148999991,2.5721511216357817,35.27103036535782,1.0756446942687012,0.6453868165612208,35.27103036535782,70.54206073071563,105.81309109607345
original_360,tiny_imagenet,gru,32,1024,10,10,20,30,1.790124057687501,5.124680293563603,69.14804351251105,3.5346185832673442,2.1207711499604063,69.14804351251105,138.2960870250221,207.44413053753317
original_360,tiny_imagenet,mamba,8,64,10,10,20,30,0.9532676955874952,2.4160188138368843,33.69286509424379,0.9012632695846798,0.5407579617508079,33.69286509424379,67.38573018848759,101.07859528273138
original_360,tiny_imagenet,mamba,16,256,10,10,20,30,1.0151488227125014,2.4662670879144426,34.81415910626944,0.9736649948045908,0.5841989968827545,34.81415910626944,69.62831821253889,104.44247731880833
original_360,tiny_imagenet,mamba,32,1024,10,10,20,30,1.0472932251500007,2.883750852415302,39.31044077565303,1.545172219698529,0.9271033318191173,39.31044077565303,78.62088155130606,117.93132232695908
