matrix,dataset,block_type,grid,sequence_length,single_branch_runs,four_branch_runs,total_runs,full_epochs_per_run,single_branch_hours_per_run,four_branch_hours_per_run,cell_gpu_hours,estimated_energy_kwh,electricity_cny,compute_cny_at_1_per_gpu_hour,compute_cny_at_2_per_gpu_hour,compute_cny_at_3_per_gpu_hour
original_360,cifar10,gru,8,64,10,10,20,100,1.4921527139861124,4.510180228717285,60.02332942703399,1.5117724902935683,0.907063494176141,60.02332942703399,120.04665885406799,180.06998828110198
original_360,cifar10,gru,16,256,10,10,20,100,1.866659669972225,5.504483267850789,73.71142937823015,2.004237165247848,1.202542299148709,73.71142937823015,147.4228587564603,221.13428813469045
original_360,cifar10,gru,32,1024,10,10,20,100,3.269489624124999,10.088552571183577,133.58042195308576,6.6824440959668365,4.009466457580102,133.58042195308576,267.1608439061715,400.7412658592573
original_360,cifar10,mamba,8,64,10,10,20,100,1.9701268683472222,6.385674388942117,83.5580125728934,2.1930985177546085,1.315859110652765,83.5580125728934,167.1160251457868,250.6740377186802
original_360,cifar10,mamba,16,256,10,10,20,100,1.673729427819448,4.462897878062548,61.36627305881996,1.7130906509978412,1.0278543905987048,61.36627305881996,122.73254611763991,184.09881917645987
original_360,cifar10,mamba,32,1024,10,10,20,100,1.8671972218472206,5.270685842801231,71.37883064648452,2.730921615611476,1.6385529693668854,71.37883064648452,142.75766129296903,214.13649193945355
original_360,cifar10_up64,gru,8,64,10,10,20,100,1.5204317875972226,5.238647593311023,67.59079380908247,1.7317262046433661,1.0390357227860196,67.59079380908247,135.18158761816494,202.7723814272474
original_360,cifar10_up64,gru,16,256,10,10,20,100,1.789776658569445,5.011240215301151,68.01016873870596,1.9653465211830015,1.1792079127098007,68.01016873870596,136.0203374774119,204.03050621611789
original_360,cifar10_up64,gru,32,1024,10,10,20,100,3.3181916877361144,9.479746847670986,127.97938535407103,6.430606205591503,3.8583637233549015,127.97938535407103,255.95877070814205,383.93815606221307
original_360,cifar10_up64,mamba,8,64,10,10,20,100,2.0607828048333343,5.737188432869849,77.97971237703184,2.0945030279899344,1.2567018167939605,77.97971237703184,155.9594247540637,233.93913713109555
original_360,cifar10_up64,mamba,16,256,10,10,20,100,1.8214625454999944,4.603363515165738,64.24826060665731,1.789452438764405,1.073671463258643,64.24826060665731,128.49652121331462,192.74478181997193
original_360,cifar10_up64,mamba,32,1024,10,10,20,100,1.8581962492222222,5.936656117339577,77.94852366561801,3.0150370850037307,1.8090222510022382,77.94852366561801,155.89704733123602,233.84557099685404
original_360,tiny_imagenet,gru,8,64,10,10,20,100,2.596493953486111,7.2448270881175265,98.41321041603639,2.535605669281089,1.5213634015686535,98.41321041603639,196.82642083207278,295.23963124810916
original_360,tiny_imagenet,gru,16,256,10,10,20,100,3.183173049666664,8.573837072119273,117.57010121785937,3.5854823142290035,2.151289388537402,117.57010121785937,235.14020243571875,352.71030365357814
original_360,tiny_imagenet,gru,32,1024,10,10,20,100,5.967080192291671,17.082267645212006,230.49347837503683,11.78206194422448,7.0692371665346885,230.49347837503683,460.98695675007366,691.4804351251105
original_360,tiny_imagenet,mamba,8,64,10,10,20,100,3.177558985291651,8.053396046122948,112.309550314146,3.0042108986155998,1.8025265391693597,112.309550314146,224.619100628292,336.92865094243797
original_360,tiny_imagenet,mamba,16,256,10,10,20,100,3.3838294090416716,8.220890293048141,116.04719702089814,3.245549982681969,1.9473299896091814,116.04719702089814,232.09439404179628,348.14159106269443
original_360,tiny_imagenet,mamba,32,1024,10,10,20,100,3.490977417166669,9.61250284138434,131.03480258551008,5.150574065661763,3.090344439397058,131.03480258551008,262.06960517102016,393.10440775653024
