matrix,dataset,block_type,grid,sequence_length,single_branch_runs,four_branch_runs,total_runs,full_epochs_per_run,single_branch_hours_per_run,four_branch_hours_per_run,cell_gpu_hours,estimated_energy_kwh,electricity_cny,compute_cny_at_1_per_gpu_hour,compute_cny_at_2_per_gpu_hour,compute_cny_at_3_per_gpu_hour
with_shuffle_row_450,cifar10,gru,8,64,15,10,25,30,0.4476458141958337,1.3530540686151857,20.24522789908936,0.5099047135459699,0.30594282812758195,20.24522789908936,40.49045579817872,60.73568369726809
with_shuffle_row_450,cifar10,gru,16,256,15,10,25,30,0.5599979009916676,1.6513449803552367,24.91341831842738,0.6774037530997287,0.4064422518598372,24.91341831842738,49.82683663685476,74.74025495528214
with_shuffle_row_450,cifar10,gru,32,1024,15,10,25,30,0.9808468872374998,3.0265657713550733,44.97836102211323,2.2500706216068536,1.350042372964112,44.97836102211323,89.95672204422647,134.9350830663397
with_shuffle_row_450,cifar10,mamba,8,64,15,10,25,30,0.5910380605041666,1.915702316682635,28.02259407438885,0.7354927150112468,0.44129562900674807,28.02259407438885,56.0451881487777,84.06778222316655
with_shuffle_row_450,cifar10,mamba,16,256,15,10,25,30,0.5021188283458343,1.3388693634187643,20.920476059375158,0.584012522927507,0.3504075137565042,20.920476059375158,41.840952118750316,62.76142817812547
with_shuffle_row_450,cifar10,mamba,32,1024,15,10,25,30,0.5601591665541662,1.5812057528403693,24.214445026716188,0.9264336601562398,0.5558601960937439,24.214445026716188,48.428890053432376,72.64333508014856
with_shuffle_row_450,cifar10_up64,gru,8,64,15,10,25,30,0.4561295362791668,1.5715942779933072,22.55788582412057,0.5779497443590239,0.3467698466154143,22.55788582412057,45.11577164824114,67.67365747236171
with_shuffle_row_450,cifar10_up64,gru,16,256,15,10,25,30,0.5369329975708335,1.5033720645903452,23.087715609465956,0.6671849577297455,0.4003109746378473,23.087715609465956,46.17543121893191,69.26314682839786
with_shuffle_row_450,cifar10_up64,gru,32,1024,15,10,25,30,0.9954575063208343,2.8439240543012962,43.37110313782548,2.179276640607633,1.3075659843645797,43.37110313782548,86.74220627565096,130.11330941347643
with_shuffle_row_450,cifar10_up64,mamba,8,64,15,10,25,30,0.6182348414500003,1.7211565298609548,26.485087920359554,0.7113785772581506,0.42682714635489033,26.485087920359554,52.97017584071911,79.45526376107867
with_shuffle_row_450,cifar10_up64,mamba,16,256,15,10,25,30,0.5464387636499983,1.3810090545497213,22.00667200024719,0.612933214192731,0.36775992851563855,22.00667200024719,44.01334400049438,66.02001600074156
with_shuffle_row_450,cifar10_up64,mamba,32,1024,15,10,25,30,0.5574588747666667,1.7809968352018732,26.171851473518736,1.012323249563663,0.6073939497381977,26.171851473518736,52.34370294703747,78.51555442055621
with_shuffle_row_450,tiny_imagenet,gru,8,64,15,10,25,30,0.7789481860458333,2.173448126435258,33.41870405504008,0.8610292775102755,0.5166175665061653,33.41870405504008,66.83740811008016,100.25611216512024
with_shuffle_row_450,tiny_imagenet,gru,16,256,15,10,25,30,0.9549519148999991,2.5721511216357817,40.04578993985781,1.2212583820322425,0.7327550292193454,40.04578993985781,80.09157987971562,120.13736981957344
with_shuffle_row_450,tiny_imagenet,gru,32,1024,15,10,25,30,1.790124057687501,5.124680293563603,78.09866380094854,3.992144598411312,2.3952867590467872,78.09866380094854,156.1973276018971,234.29599140284563
with_shuffle_row_450,tiny_imagenet,mamba,8,64,15,10,25,30,0.9532676955874952,2.4160188138368843,38.45920357218127,1.0287598712704502,0.6172559227622701,38.45920357218127,76.91840714436255,115.37761071654381
with_shuffle_row_450,tiny_imagenet,mamba,16,256,15,10,25,30,1.0151488227125014,2.4662670879144426,39.88990321983194,1.11562086830065,0.66937252098039,39.88990321983194,79.77980643966389,119.66970965949582
with_shuffle_row_450,tiny_imagenet,mamba,32,1024,15,10,25,30,1.0472932251500007,2.883750852415302,44.54690690140302,1.7510015573312065,1.050600934398724,44.54690690140302,89.09381380280604,133.64072070420906
