batch,dataset,arch,block,d_model,grid,seq_len,exp_id,group,seed,epochs,tail_val_acc,tail_train_acc,final_val_acc,param_count,source
earlier,cifar10,channel_split,gru,256,16,256,channel_real_4dir,GEO_DIV,0,100,82.5395,89.7286,82.65,215562,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_real_4dir,GEO_DIV,1,100,82.0655,89.5064,82.12,215562,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_real_4dir,GEO_DIV,2,100,82.6205,89.6196,82.82,215562,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_real_4dir,GEO_DIV,3,100,81.888,89.3268,82.01,215562,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_real_4dir,GEO_DIV,4,100,82.2625,89.451,82.35,215562,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_same_row_4,GEO_S,0,100,82.028,88.7766,82.21,215562,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_same_row_4,GEO_S,1,100,82.0335,88.9957,82.1,215562,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_same_row_4,GEO_S,2,100,82.1475,88.6893,82.3,215562,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_same_row_4,GEO_S,3,100,82.1845,89.2617,82.34,215562,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_same_row_4,GEO_S,4,100,82.401,89.1829,82.51,215562,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_rand_perm_4,RND_D,0,100,76.579,80.5992,76.82,215562,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_rand_perm_4,RND_D,1,100,76.5145,80.9856,76.53,215562,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_rand_perm_4,RND_D,2,100,75.65,79.7264,75.7,215562,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_rand_perm_4,RND_D,3,100,75.988,81.0806,75.98,215562,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_rand_perm_4,RND_D,4,100,75.619,80.7536,75.71,215562,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_same_perm_4,RND_S,0,100,75.9675,80.5228,76.09,215562,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_same_perm_4,RND_S,1,100,76.5765,81.0928,76.68,215562,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_same_perm_4,RND_S,2,100,74.952,79.496,74.96,215562,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_same_perm_4,RND_S,3,100,75.859,81.0336,76.03,215562,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,256,16,256,channel_same_perm_4,RND_S,4,100,75.84,80.618,75.88,215562,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_real_4dir,GEO_DIV,0,100,80.112,89.3172,80.16,221450,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_real_4dir,GEO_DIV,1,100,79.7045,89.8737,79.78,221450,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_real_4dir,GEO_DIV,2,100,78.7425,89.766,78.81,221450,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_real_4dir,GEO_DIV,3,100,79.836,90.1047,79.97,221450,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_real_4dir,GEO_DIV,4,100,79.6395,89.1978,79.74,221450,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_same_row_4,GEO_S,0,100,77.133,85.812,77.19,221450,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_same_row_4,GEO_S,1,100,76.6815,85.7396,76.77,221450,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_same_row_4,GEO_S,2,100,76.253,85.679,76.3,221450,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_same_row_4,GEO_S,3,100,76.096,85.5462,76.11,221450,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_same_row_4,GEO_S,4,100,76.268,85.4172,76.41,221450,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_rand_perm_4,RND_D,0,100,65.731,75.2249,65.78,221450,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_rand_perm_4,RND_D,1,100,66.222,76.1197,66.29,221450,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_rand_perm_4,RND_D,2,100,66.2135,76.4311,66.15,221450,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_rand_perm_4,RND_D,3,100,66.2285,75.5026,66.21,221450,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_rand_perm_4,RND_D,4,100,66.242,75.2156,66.36,221450,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_same_perm_4,RND_S,0,100,65.4365,75.1735,65.38,221450,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_same_perm_4,RND_S,1,100,65.8065,76.4829,65.94,221450,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_same_perm_4,RND_S,2,100,66.6785,76.5997,66.68,221450,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_same_perm_4,RND_S,3,100,66.157,75.5739,66.26,221450,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,256,32,1024,channel_same_perm_4,RND_S,4,100,66.233,75.108,66.3,221450,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_real_4dir,GEO_DIV,0,100,80.8775,85.5007,81.02,220682,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_real_4dir,GEO_DIV,1,100,80.4505,85.1342,80.59,220682,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_real_4dir,GEO_DIV,2,100,80.677,85.3842,80.83,220682,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_real_4dir,GEO_DIV,3,100,80.5285,85.8065,80.62,220682,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_real_4dir,GEO_DIV,4,100,80.4775,85.1994,80.55,220682,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_same_row_4,GEO_S,0,100,80.572,85.4007,80.65,220682,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_same_row_4,GEO_S,1,100,80.3165,85.4324,80.5,220682,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_same_row_4,GEO_S,2,100,80.824,85.6213,80.94,220682,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_same_row_4,GEO_S,3,100,80.661,86.0111,80.82,220682,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_same_row_4,GEO_S,4,100,80.5905,85.9847,80.6,220682,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_rand_perm_4,RND_D,0,100,75.8255,77.7201,75.93,220682,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_rand_perm_4,RND_D,1,100,75.9715,77.5759,76.25,220682,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_rand_perm_4,RND_D,2,100,76.2345,78.2263,76.26,220682,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_rand_perm_4,RND_D,3,100,75.946,78.0423,76.15,220682,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_rand_perm_4,RND_D,4,100,76.056,78.1745,76.28,220682,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_same_perm_4,RND_S,0,100,75.7605,77.9051,75.83,220682,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_same_perm_4,RND_S,1,100,75.19,77.0386,75.39,220682,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_same_perm_4,RND_S,2,100,74.759,77.6638,74.82,220682,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_same_perm_4,RND_S,3,100,75.8245,77.8332,75.96,220682,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,256,8,64,channel_same_perm_4,RND_S,4,100,75.529,77.6937,75.64,220682,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_real_4dir,GEO_DIV,0,100,70.21,70.3047,70.29,17034,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_real_4dir,GEO_DIV,1,100,71.2025,71.0409,71.11,17034,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_real_4dir,GEO_DIV,2,100,70.586,70.1204,70.57,17034,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_real_4dir,GEO_DIV,3,100,70.976,70.5338,71.09,17034,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_real_4dir,GEO_DIV,4,100,71.166,70.4479,71.39,17034,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_row_4,GEO_S,0,100,71.3065,70.122,71.34,17034,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_row_4,GEO_S,1,100,70.964,70.4187,71.08,17034,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_row_4,GEO_S,2,100,71.293,70.7026,71.49,17034,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_row_4,GEO_S,3,100,72.373,71.0998,72.51,17034,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_row_4,GEO_S,4,100,71.5375,70.3597,71.69,17034,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_rand_perm_4,RND_D,0,100,65.1335,64.1098,65.46,17034,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_rand_perm_4,RND_D,1,100,66.2435,65.1282,66.38,17034,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_rand_perm_4,RND_D,2,100,65.446,64.9732,65.59,17034,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_rand_perm_4,RND_D,3,100,66.2105,65.2387,66.26,17034,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_rand_perm_4,RND_D,4,100,65.528,64.6158,65.68,17034,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_perm_4,RND_S,0,100,64.9485,64.3963,65.11,17034,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_perm_4,RND_S,1,100,66.886,65.1094,67.07,17034,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_perm_4,RND_S,2,100,65.21,64.5233,65.42,17034,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_perm_4,RND_S,3,100,66.443,65.3352,66.52,17034,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_perm_4,RND_S,4,100,65.291,64.6262,65.44,17034,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_real_4dir,GEO_DIV,0,100,68.1585,68.7154,68.28,18506,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_real_4dir,GEO_DIV,1,100,68.1815,68.5816,68.31,18506,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_real_4dir,GEO_DIV,2,100,68.9165,69.438,69.03,18506,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_real_4dir,GEO_DIV,3,100,68.3595,69.0808,68.46,18506,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_real_4dir,GEO_DIV,4,100,69.103,69.6555,69.19,18506,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_row_4,GEO_S,0,100,66.212,65.6133,66.36,18506,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_row_4,GEO_S,1,100,65.2935,64.9345,65.46,18506,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_row_4,GEO_S,2,100,65.9195,65.5515,66.18,18506,csplit_d64_seed2/stage1_results.json
